member_name,filename,dtype,numel,shape,source_key,note
conv1_w,conv1_w.bin,int8,72,8x1x3x3,patch_embed_phase.0.weight_int8,as stored (no refold)
conv1_w_quant_scale,conv1_w_quant_scale.bin,float32,1,1,patch_embed_phase.0.a_scale,per-tensor a_scale*a_scale_mul
conv1_w_dequant_scale,conv1_w_dequant_scale.bin,float32,8,8,patch_embed_phase.0.w_scale,per-OC; int32 acc -> f32
conv1_b_i32,conv1_b_i32.bin,int32,8,8,patch_embed_phase.0.bias,round(bias_f32 / dequant_scale)
norm1_w,norm1_w.bin,float32,8,8,patch_embed_phase.2.weight,
norm1_b,norm1_b.bin,float32,8,8,patch_embed_phase.2.bias,
conv2_w,conv2_w.bin,int8,1152,16x8x3x3,patch_embed_phase.5.weight_int8,"act scale folded, requantized per OC"
conv2_w_quant_scale,conv2_w_quant_scale.bin,float32,8,8,patch_embed_phase.5.a_scale,sq_s*a_scale*a_scale_mul
conv2_w_dequant_scale,conv2_w_dequant_scale.bin,float32,16,16,patch_embed_phase.5.w_scale,per-OC; int32 acc -> f32
conv2_b_i32,conv2_b_i32.bin,int32,16,16,patch_embed_phase.5.bias,round(bias_f32 / dequant_scale)
norm2_w,norm2_w.bin,float32,16,16,patch_embed_phase.7.weight,
norm2_b,norm2_b.bin,float32,16,16,patch_embed_phase.7.bias,
pwl_rsqrt_knot,pwl_rsqrt_knot.bin,float32,11,11,v8,v8 f32 pwl (kept)
pwl_rsqrt_slope,pwl_rsqrt_slope.bin,float32,10,10,v8,v8
pwl_rsqrt_intercept,pwl_rsqrt_intercept.bin,float32,10,10,v8,v8
norm1_deq_mul,norm1_deq_mul.bin,int32,8,8,v9,v9
norm1_deq_sh,norm1_deq_sh.bin,int32,1,1,v9,v9
norm1_gamma_q,norm1_gamma_q.bin,int32,8,8,v9,v9
norm1_amul,norm1_amul.bin,int32,1,1,v9,v9
norm1_ash,norm1_ash.bin,int32,1,1,v9,v9
norm1_bfix,norm1_bfix.bin,int32,8,8,v9,v9
norm2_deq_mul,norm2_deq_mul.bin,int32,16,16,v9,v9
norm2_deq_sh,norm2_deq_sh.bin,int32,1,1,v9,v9
norm2_gamma_q,norm2_gamma_q.bin,int32,16,16,v9,v9
rsqrt_knot_q,rsqrt_knot_q.bin,int32,11,11,v9,v9
rsqrt_sl_q,rsqrt_sl_q.bin,int32,10,10,v9,v9
rsqrt_ic_q,rsqrt_ic_q.bin,int32,10,10,v9,v9
gelu_lut,gelu_lut.bin,int8,2048,2048,v9,v9
